query_id;doc_slug;rel
1;cabling;1
1;dhcp;1
1;ethernet-standards;1
1;ip-addressing;2
1;lan-topology;2
1;network-diagnostics;1
1;neural-networks;0
1;os-purpose;0
1;routers;1
1;switches;2
1;vlan;1
1;vpn;0
2;drivers;0
2;ethernet-standards;1
2;network-diagnostics;0
2;network-monitoring;0
2;os-purpose;0
2;osi-model;1
2;switches;2
2;vlan;1
3;lan-topology;0
3;network-security;1
3;neural-networks;0
3;switches;1
3;virtualization;0
3;vlan;2
3;vpn;0
4;dhcp;2
4;dns-local;1
4;ip-addressing;2
4;memory-management;0
4;network-security;0
4;osi-model;0
4;routers;1
5;ip-addressing;0
5;lan-topology;0
5;network-security;1
5;neural-networks;0
5;vlan;0
5;vpn;0
5;wifi;2
6;file-sharing;1
6;ip-addressing;0
6;network-security;1
6;routers;0
6;user-accounts;1
6;vpn;2
6;wifi;0
6;windows-admin;0
7;crawler-agents;0
7;file-sharing;2
7;file-systems;0
7;linux-basics;0
7;network-security;1
7;processes;0
7;windows-admin;1
8;ip-addressing;0
8;lan-topology;0
8;machine-learning;2
8;network-security;0
8;neural-networks;2
8;text-classification;1
8;vlan;0
8;vpn;0
9;information-retrieval;2
9;inverted-index;1
9;machine-learning;0
9;neural-networks;0
9;relational-model;0
9;search-metrics;1
9;tfidf;2
9;vector-model;2
10;information-retrieval;1
10;machine-learning;0
10;neural-networks;0
10;search-metrics;2
10;sqlite;0
10;text-classification;1
10;vector-model;1
11;crawler-agents;1
11;indexes;0
11;information-retrieval;1
11;inverted-index;2
11;os-purpose;0
11;query-optimization;0
11;sql-select;0
11;vector-model;1
12;chatbots;1
12;information-retrieval;0
12;morphology-nlp;2
12;neural-networks;0
12;sql-select;0
12;switches;0
12;text-classification;1
13;db-backup;0
13;db-security;0
13;indexes;1
13;information-retrieval;0
13;nosql;0
13;query-optimization;2
13;relational-model;1
13;sql-select;2
13;sqlite;1
14;indexes;2
14;information-retrieval;0
14;inverted-index;0
14;postgresql;1
14;query-optimization;2
14;sql-select;1
14;sqlite;1
14;vector-model;0
15;backup;2
15;db-backup;2
15;db-security;0
15;file-sharing;1
15;linux-basics;0
15;os-scheduling;1
15;os-updates;1
15;virtualization;0
16;drivers;0
16;linux-basics;0
16;memory-management;2
16;os-purpose;1
16;os-updates;0
16;processes;1
16;sqlite;0
16;virtualization;1
17;chatbots;0
17;db-security;1
17;file-sharing;1
17;information-retrieval;0
17;linux-basics;1
17;network-security;1
17;os-purpose;0
17;user-accounts;2
17;windows-admin;1
18;borsch;2
18;bread;0
18;pasta;0
18;salads;0
18;soups;1
19;chess;0
19;cycling;1
19;football;0
19;gym-training;2
19;machine-learning;0
19;running;2
19;skiing;1
19;swimming;1
20;basketball;0
20;chess;2
20;football;0
20;olympic-games;1
20;running;0
20;skiing;0
21;access-control;0
21;db-security;0
21;encryption;0
21;password-policy;2
21;phishing;1
21;security-policy;1
21;two-factor;2
21;user-accounts;1
22;antivirus;0
22;firewall;2
22;network-diagnostics;0
22;network-monitoring;0
22;network-security;2
22;routers;1
22;security-policy;1
22;vlan;1
23;antivirus;2
23;backup;1
23;encryption;0
23;firewall;0
23;incident-response;1
23;os-updates;0
23;phishing;0
23;security-policy;1
24;access-control;0
24;db-security;1
24;encryption;2
24;network-security;1
24;password-policy;0
24;two-factor;0
24;vpn;1
25;audit-log;2
25;backup;0
25;db-backup;0
25;incident-response;1
25;network-monitoring;1
25;security-policy;1
25;transactions;0
25;user-accounts;1
26;backup;0
26;code-review-practice;1
26;db-backup;0
26;documentation;1
26;unit-testing;0
26;version-control;2
27;algorithms-sorting;0
27;code-review-practice;1
27;debugging;2
27;documentation;0
27;network-diagnostics;0
27;python-basics;1
27;unit-testing;2
28;algorithms-sorting;1
28;data-structures;2
28;er-model;0
28;indexes;1
28;inverted-index;1
28;oop-principles;0
28;relational-model;0
29;algorithms-sorting;2
29;data-structures;1
29;query-optimization;1
29;search-metrics;0
29;unit-testing;0
29;vector-model;0
30;hard-drives;0
30;memory-management;1
30;monitors;0
30;motherboard;1
30;os-scheduling;1
30;processor;2
30;ram-memory;2
30;server-hardware;0
31;backup;1
31;db-backup;0
31;file-systems;1
31;hard-drives;2
31;motherboard;0
31;ram-memory;0
31;server-hardware;1
32;access-control;1
32;dns-local;0
32;drivers;1
32;file-sharing;1
32;monitors;0
32;os-updates;0
32;printers;2
33;air-transport;0
33;city-routes;0
33;delivery-services;0
33;ip-addressing;2
33;lan-topology;1
33;logistics-warehouse;0
33;osi-model;1
33;railway;0
33;routers;2
33;switches;1
33;vlan;1
34;cabling;0
34;city-routes;1
34;ethernet-standards;0
34;network-diagnostics;0
34;railway;1
34;traffic-jams;2
35;bicycle-city;2
35;car-maintenance;0
35;city-routes;0
35;cycling;1
35;running;0
36;air-transport;1
36;city-routes;0
36;delivery-services;2
36;file-sharing;0
36;logistics-warehouse;2
36;railway;1
36;traffic-jams;0
