query_id;query;relevant_total;relevant_retrieved;precision;recall;f1;p@5;p@10;p@20;r_precision;ap;ndcg;bpref
1;настройка локальной вычислительной сети;9;8;0.4000;0.8889;0.5517;0.8000;0.6000;0.4000;0.6667;0.6874;0.9000;0.5926
2;как работает коммутатор;4;4;0.2000;1.0000;0.3333;0.4000;0.2000;0.2000;0.5000;0.5943;0.8983;0.5000
3;виртуальные локальные сети vlan;3;3;0.1500;1.0000;0.2609;0.6000;0.3000;0.1500;0.6667;0.8056;0.9515;0.7778
4;ip адрес и маска подсети;4;4;0.3077;1.0000;0.4706;0.6000;0.4000;0.2000;0.7500;0.8750;0.9802;0.7500
5;беспроводная сеть wi-fi;2;2;0.1000;1.0000;0.1818;0.4000;0.2000;0.1000;1.0000;1.0000;1.0000;1.0000
6;удалённый доступ сотрудников к сети предприятия;4;4;0.2000;1.0000;0.3333;0.4000;0.3000;0.2000;0.5000;0.6742;0.9231;0.5000
7;общий доступ к файлам сетевые папки;3;3;0.1500;1.0000;0.2609;0.4000;0.2000;0.1500;0.3333;0.5909;0.8980;0.5556
8;нейронные сети и машинное обучение;3;3;0.1500;1.0000;0.2609;0.4000;0.3000;0.1500;0.6667;0.8333;0.9733;0.6667
9;векторная модель поиска документов;5;5;0.2500;1.0000;0.4000;0.8000;0.4000;0.2500;0.8000;0.8509;0.9790;0.7333
10;оценка качества информационного поиска;4;4;0.2105;1.0000;0.3478;0.4000;0.3000;0.2000;0.5000;0.5938;0.6765;0.5000
11;инвертированный индекс поисковой системы;4;3;0.1500;0.7500;0.2500;0.6000;0.3000;0.1500;0.5000;0.4417;0.6094;0.5000
12;морфологический анализ русского языка;3;2;0.1818;0.6667;0.2857;0.2000;0.2000;0.1000;0.3333;0.4167;0.8026;0.3333
13;запросы sql к базе данных;5;5;0.2500;1.0000;0.4000;0.4000;0.3000;0.2500;0.4000;0.3758;0.5934;0.2500
14;индексы ускоряют выполнение запросов;5;5;0.2500;1.0000;0.4000;0.4000;0.4000;0.2500;0.4000;0.6571;0.9335;0.5333
15;резервное копирование данных;5;5;0.2500;1.0000;0.4000;0.6000;0.4000;0.2500;0.6000;0.7500;0.9548;0.8000
16;управление оперативной памятью операционной системы;4;3;0.1500;0.7500;0.2500;0.6000;0.3000;0.1500;0.7500;0.6875;0.7286;0.7500
17;права доступа пользователей;6;4;0.2000;0.6667;0.3077;0.6000;0.4000;0.2000;0.6667;0.5139;0.8081;0.6667
18;рецепт борща;2;1;1.0000;0.5000;0.6667;0.2000;0.1000;0.0500;0.5000;0.5000;0.8262;0.5000
19;тренировки бег выносливость;5;3;0.7500;0.6000;0.6667;0.6000;0.3000;0.1500;0.6000;0.6000;0.8262;0.6000
20;шахматный турнир подготовка;2;2;0.5000;1.0000;0.6667;0.4000;0.2000;0.1000;0.5000;0.7500;0.9448;0.5000
81;надёжный пароль и двухфакторная аутентификация;5;3;0.3333;0.6000;0.4286;0.6000;0.3000;0.1500;0.6000;0.5500;0.8572;0.6000
82;межсетевой экран и фильтрация сетевого трафика;5;5;0.2500;1.0000;0.4000;0.4000;0.3000;0.2500;0.4000;0.6436;0.9310;0.8000
83;защита от вирусов и программ-вымогателей;4;2;0.2500;0.5000;0.3333;0.2000;0.2000;0.1000;0.2500;0.3125;0.7268;0.4375
84;шифрование данных и электронная подпись;4;2;0.1000;0.5000;0.1667;0.4000;0.2000;0.1000;0.5000;0.5000;0.7960;0.5000
85;журнал событий и аудит действий пользователей;5;3;0.1500;0.6000;0.2400;0.6000;0.3000;0.1500;0.6000;0.4833;0.7943;0.6000
86;система контроля версий исходного кода;3;3;0.1500;1.0000;0.2609;0.4000;0.3000;0.1500;0.6667;0.6984;0.9280;1.0000
87;модульное тестирование и отладка программы;4;3;0.1500;0.7500;0.2500;0.4000;0.2000;0.1500;0.5000;0.5536;0.8841;0.7500
88;структуры данных хеш-таблица и дерево;4;3;0.1500;0.7500;0.2500;0.4000;0.2000;0.1500;0.5000;0.4744;0.8249;0.7500
89;алгоритмы сортировки и вычислительная сложность;3;1;0.1250;0.3333;0.1818;0.2000;0.1000;0.0500;0.3333;0.3333;0.7262;0.3333
90;оперативная память и процессор компьютера;5;5;0.2500;1.0000;0.4000;0.8000;0.5000;0.2500;0.8000;0.9111;0.9862;0.9333
91;выбор жёсткого диска и твердотельного накопителя;4;4;0.2000;1.0000;0.3333;0.4000;0.2000;0.2000;0.5000;0.6056;0.9024;0.6667
92;печать документов на сетевом принтере;4;3;0.1500;0.7500;0.2500;0.4000;0.3000;0.1500;0.5000;0.5833;0.8620;0.7500
93;маршрутизация пакетов между узлами сети;6;5;0.2500;0.8333;0.3846;0.4000;0.4000;0.2500;0.5000;0.5665;0.8877;0.7333
94;пропускная способность дороги и заторы;3;3;0.3750;1.0000;0.5455;0.6000;0.3000;0.1500;0.6667;0.9167;0.9832;1.0000
95;велосипед в городе;2;2;0.5000;1.0000;0.6667;0.4000;0.2000;0.1000;1.0000;1.0000;0.7967;1.0000
96;доставка посылок и складская логистика;4;2;0.6667;0.5000;0.5714;0.4000;0.2000;0.1000;0.5000;0.5000;0.8402;0.5000

Средние значения
precision;0.2736
recall;0.8316
f1;0.3710
p@5;0.4667
p@10;0.2861
p@20;0.1694
r_precision;0.5681
map;0.6342
ndcg;0.8593
bpref;0.6490

Полнота;Интерполированная точность
0.0;0.9769
0.1;0.9769
0.2;0.9699
0.3;0.9190
0.4;0.8264
0.5;0.7795
0.6;0.5366
0.7;0.3960
0.8;0.3180
0.9;0.2564
1.0;0.2564
